requirement,status,score,evidence,detail,action
WRDS extraction and usable sample,PASS,1.0,manifests/run_full/summary.json,"345 completed, 15 skipped, 0 failed; usable through 2024 because 2025 OptionMetrics shards are unavailable.",Do not claim 2025 coverage unless OptionMetrics shards become available.
Raw SVI no-arbitrage refits,PASS,1.0,manifests/svi_refit/summary.json,348 monthly refit manifests completed with no-arbitrage diagnostics.,
Global SSVI calendar and butterfly constraints,PASS,1.0,manifests/ssvi_fit/summary.json,34800 / 34800 surfaces pass; pass share 1.000.,
Expanded CRSP-Compustat characteristics,PASS,1.0,manifests/characteristic_library_manifest.json,33 characteristics over 670562 firm-month rows.,
"Cboe, FF, and FRB state/factor controls",PASS,1.0,manifests/state_controls_manifest.json,31 state/factor columns over 372 months.,
CRSP daily beta and idiosyncratic-volatility controls,PASS,1.0,manifests/daily_risk_manifest.json,"670562 monthly risk rows; columns: beta_252d, idio_vol_252d, total_vol_252d, mkt_corr_252d, daily_obs_252d.",
TAQ-calibrated transaction costs,PASS,1.0,manifests/taq_cost_manifest_calib_2015_2024_m12_s50.json,600 exact sampled rows; exact/calibrated shares 0.08%/99.92%.,Do not describe this as a full raw all-symbol TAQ mirror.
IBES analyst expectations and WRDS short-volume sample,PASS,1.0,manifests/ibes_regsho_manifest.json,7822864 IBES rows; 15883 visible short-volume rows.,
External APIs,PASS,1.0,manifests/external_api_controls_manifest.json,"Passed: BEA, BLS, EIA, FRED; skipped: none.","Set BEA_API_KEY, EIA_API_KEY, and SEC_EDGAR_USER_AGENT at runtime in an ignored environment if these sources must be pulled."
Baseline models,PASS,1.0,manifests/baseline_manifest.json,75 features; Elastic Net and LightGBM statuses recorded.,
GPU walk-forward return model,NEGATIVE_RESULT,0.75,manifests/gpu_return_model_manifest.json,"89 features, 19 folds, device=cuda; rank IC=0.0022, top-bottom=-0.0005/mo.","Treat the latest expanded-feature result as weak/negative evidence, not a profitable anomaly."
Sector-balanced beta-hedged buffered portfolio,NEGATIVE_RESULT,0.75,manifests/proposal_portfolio_manifest.json,227 OOS months; net mean=-0.0015/mo; TAQ-net mean=-0.0037/mo.,"Implementation is complete, but the current expanded-feature portfolio result is negative."
"Factor alphas, HJ/GRS, Newey-West, bootstrap inference",NEGATIVE_RESULT,0.75,manifests/asset_pricing_inference_manifest.json,Proposal FF5+UMD alpha t=-0.99; TAQ-net alpha t=-2.88; bootstrap status=PASS.,Use these inference artifacts to discipline claims; latest expanded-feature alphas are negative.
Flagship conditional autoencoder SDF,PASS,1.0,manifests/conditional_autoencoder_sdf_manifest.json,"227 OOS months, 467085 assets; surface/tabular/state=17/44/27; pricing RMS=0.11581583480623525.",
Integrated gradients and latent-factor interpretation,PASS,1.0,manifests/model_interpretation_manifest.json,"25 IG rows, 448 latent/state correlations, 128 latent beta/characteristic correlations.",
TreeSHAP interpretation,PASS,1.0,manifests/shap_interpretation_manifest.json,89 features; train rows=250000; explain rows=8000.,
Reg SHO pilot mechanism test,PASS_WEAK_RESULT,0.85,manifests/regsho_pilot_did_manifest.json,63881 firm-month rows; 674 pilot PERMNOs; triple t=-0.80.,Retain as weak mechanism evidence; do not claim a strong causal result.
High-quality visual evidence pack,PASS,1.0,outputs/figures/full/evidence_dashboard.png,"Evidence dashboard plus SSVI, SDF, SHAP, Reg SHO, portfolio, and inference figures are generated.",
Public-safety and reproducibility discipline,PASS,1.0,".gitignore, tests, logs/public_safety_scan*.log","Raw data, logs, models, and secrets are ignored; local and remote safety scans should be rerun before any push.",
